farmer_id,farmer_name,national_id,province,region,district,cooperative,farm_size_rai,primary_crop,registration_date,status,phone
FRM-0015,จันทร์ เพชรดี,1698338142294,หนองบัวลำภู,ภาคตะวันออกเฉียงเหนือ,อ.แม่ทะ,สหกรณ์การเกษตรนครราชสีมา จำกัด,86.75,ทุเรียน,2021-02-19,ใช้งาน,0884924883
FRM-0016,เอกชัย แสงงาม,7963282792465,นครพนม,ภาคตะวันออกเฉียงเหนือ,อ.บ้านโฮ่ง,สหกรณ์การเกษตรสงขลา จำกัด,94.16,ข้าวฟ่าง,2018-11-23,ใช้งาน,0819473144
FRM-0017,สมพงษ์ ทองดี,4751815571595,เชียงใหม่,ภาคเหนือ,อ.แม่ทะ,สหกรณ์การเกษตรสงขลา จำกัด,30.83,ยางพารา,2022-10-19,ใช้งาน,0865574598
FRM-0018,วีระ ฤทธิ์ไกร,1139710736463,นครปฐม,ภาคกลาง,อ.แม่ทะ,สหกรณ์การเกษตรสงขลา จำกัด,186.69,ข้าวนาปี,2019-03-15,ใช้งาน,0836048496
FRM-0019,ปราณี สมบูรณ์,5957561986265,นครพนม,ภาคตะวันออกเฉียงเหนือ,อ.แม่ทะ,สหกรณ์การเกษตรสุราษฎร์ธานี จำกัด,144.93,ข้าวโพดเลี้ยงสัตว์,2016-02-24,ใช้งาน,0870862638
FRM-0020,สุดา ทองดี,8450197522211,พังงา,ภาคใต้,อ.ป่าซาง,สหกรณ์การเกษตรเชียงราย จำกัด,5.69,สับปะรด,2022-05-28,ใช้งาน,0870318081
FRM-0021,สายฝน สีทอง,2967136552614,สกลนคร,ภาคตะวันออกเฉียงเหนือ,อ.เมือง,สหกรณ์การเกษตรขอนแก่น จำกัด,111.39,กาแฟ,2022-09-23,ใช้งาน,0948317326
FRM-0022,สุนิสา มั่งมี,1703776358705,อุบลราชธานี,ภาคตะวันออกเฉียงเหนือ,อ.ป่าซาง,สหกรณ์การเกษตรสุราษฎร์ธานี จำกัด,138.0,มังคุด,2021-03-02,ใช้งาน,0950292587
FRM-0023,วิทยา ทรัพย์มา,4117333527642,จันทบุรี,ภาคตะวันออก,อ.วังเหนือ,สหกรณ์การเกษตรเชียงราย จำกัด,39.98,ข้าวฟ่าง,2017-04-28,ใช้งาน,0910518410
FRM-0024,จักรกฤษณ์ ศรีสุข,4914736804901,หนองคาย,ภาคตะวันออกเฉียงเหนือ,อ.บ้านโฮ่ง,สหกรณ์การเกษตรลำปาง จำกัด,73.18,กาแฟ,2019-03-26,ใช้งาน,0861094699
FRM-0025,ปิยะ ชูชื่น,5912469031958,ชัยภูมิ,ภาคตะวันออกเฉียงเหนือ,อ.ป่าซาง,สหกรณ์การเกษตรอุบลราชธานี จำกัด,82.94,กาแฟ,2015-11-07,ใช้งาน,0807408963
FRM-0026,สุชาติ มีสุข,7079245160972,เพชรบูรณ์,ภาคเหนือ,อ.ป่าซาง,สหกรณ์ชาวสวนปาล์มชุมพร จำกัด,123.21,ลำไย,2019-03-19,ใช้งาน,0954776674
FRM-0027,สายฝน ใจดี,7404642497786,ศรีสะเกษ,ภาคตะวันออกเฉียงเหนือ,อ.วังเหนือ,สหกรณ์การเกษตรนครราชสีมา จำกัด,190.03,ข้าวฟ่าง,2019-01-23,ใช้งาน,0884266088
FRM-0028,ยุทธนา เจริญสุข,8079507048708,นครสวรรค์,ภาคเหนือ,อ.ป่าซาง,สหกรณ์การเกษตรอุบลราชธานี จำกัด,29.82,ปาล์มน้ำมัน,2019-09-10,ใช้งาน,0901776035
FRM-0029,สมชาย สาระ,4694904159596,บุรีรัมย์,ภาคตะวันออกเฉียงเหนือ,อ.วังเหนือ,สหกรณ์การเกษตรสุพรรณบุรี จำกัด,123.3,ยางพารา,2019-07-18,ใช้งาน,0918691366
FRM-0030,ยุทธนา ทองดี,6895354835020,กาฬสินธุ์,ภาคตะวันออกเฉียงเหนือ,อ.เมือง,สหกรณ์การเกษตรสุราษฎร์ธานี จำกัด,136.2,ข้าวโพดเลี้ยงสัตว์,2022-12-06,ใช้งาน,0839555028
FRM-0031,สมบัติ วงศ์งาม,2283200890793,ลำพูน,ภาคเหนือ,อ.วังเหนือ,สหกรณ์ชาวสวนปาล์มชุมพร จำกัด,177.8,ทุเรียน,2015-04-16,ใช้งาน,0986926170
FRM-0032,กมลา มงคล,1097442596300,กาญจนบุรี,ภาคกลาง,อ.เมือง,สหกรณ์ชาวสวนปาล์มชุมพร จำกัด,47.67,สับปะรด,2022-07-08,ไม่ใช้งาน,0939038225
FRM-0033,ลัดดา ดีงาม,9881528598830,สุราษฎร์ธานี,ภาคใต้,อ.วังเหนือ,สหกรณ์การเกษตรอุบลราชธานี จำกัด,91.95,ข้าวหอมมะลิ,2015-09-08,ใช้งาน,0927419448
FRM-0034,ธนกร บุญมา,9523454080915,สระแก้ว,ภาคตะวันออก,อ.บ้านโฮ่ง,สหกรณ์การเกษตรสงขลา จำกัด,90.78,อ้อย,2019-04-27,ใช้งาน,0872937969
FRM-0035,ชาญชัย สมบูรณ์,7735501980632,อยุธยา,ภาคกลาง,อ.บ้านโฮ่ง,สหกรณ์การเกษตรสุราษฎร์ธานี จำกัด,17.52,ปาล์มน้ำมัน,2020-09-03,ใช้งาน,0925070603
FRM-0036,กิตติ สุขใจ,1346584632174,ตราด,ภาคตะวันออก,อ.แม่ทะ,สหกรณ์ชาวสวนปาล์มชุมพร จำกัด,98.01,ยางพารา,2015-04-27,ใช้งาน,0904686243
FRM-0037,นงลักษณ์ เจริญสุข,1508891957439,ตราด,ภาคตะวันออก,อ.วังเหนือ,สหกรณ์ชาวสวนยางระยอง จำกัด,135.43,สับปะรด,2018-08-08,ใช้งาน,0844303857
FRM-0038,สมหญิง พันธ์ดี,2473290184959,สุราษฎร์ธานี,ภาคใต้,อ.วังเหนือ,สหกรณ์การเกษตรขอนแก่น จำกัด,174.04,ข้าวหอมมะลิ,2017-10-18,ใช้งาน,0901764919
FRM-0039,รัตนา เกษตรดี,7669567268375,อ่างทอง,ภาคกลาง,อ.ป่าซาง,สหกรณ์ชาวสวนปาล์มชุมพร จำกัด,54.19,ข้าวนาปี,2018-08-11,ใช้งาน,0944799199
FRM-0040,ประสิทธิ์ เกษตรดี,4505755387233,พะเยา,ภาคเหนือ,อ.เมือง,สหกรณ์การเกษตรสุพรรณบุรี จำกัด,34.71,ข้าวหอมมะลิ,2020-04-21,ใช้งาน,0830706183
FRM-0041,มณีรัตน์ รักษ์ดี,3017424982652,กาฬสินธุ์,ภาคตะวันออกเฉียงเหนือ,อ.บ้านโฮ่ง,สหกรณ์การเกษตรสงขลา จำกัด,26.08,ข้าวนาปรัง,2022-12-09,ใช้งาน,0954564256
FRM-0042,ประสิทธิ์ เพชรดี,5271891477802,ราชบุรี,ภาคกลาง,อ.เมือง,สหกรณ์การเกษตรสงขลา จำกัด,170.81,ทุเรียน,2021-12-07,ใช้งาน,0951916362
FRM-0043,ยุทธนา มั่งมี,9899468404233,น่าน,ภาคเหนือ,อ.ป่าซาง,สหกรณ์การเกษตรเชียงราย จำกัด,170.67,กาแฟ,2020-09-14,ใช้งาน,0916373051
FRM-0044,สายฝน รักษ์ดี,9179694337567,นนทบุรี,ภาคกลาง,อ.วังเหนือ,สหกรณ์การเกษตรสุพรรณบุรี จำกัด,57.34,กาแฟ,2022-12-05,ใช้งาน,0823263394
FRM-0045,นฤมล เพชรดี,6915797713259,อำนาจเจริญ,ภาคตะวันออกเฉียงเหนือ,อ.เมือง,สหกรณ์การเกษตรลำปาง จำกัด,170.94,ข้าวหอมมะลิ,2022-04-25,ใช้งาน,0895247600
FRM-0046,จักรกฤษณ์ ดาวเรือง,4362736323263,นครพนม,ภาคตะวันออกเฉียงเหนือ,อ.เมือง,สหกรณ์การเกษตรสุราษฎร์ธานี จำกัด,145.41,ลิ้นจี่,2020-05-20,ใช้งาน,0864511464
FRM-0047,สมหญิง ทองดี,4896799069669,นครศรีธรรมราช,ภาคใต้,อ.วังเหนือ,สหกรณ์การเกษตรสุราษฎร์ธานี จำกัด,64.71,ทุเรียน,2022-08-26,ใช้งาน,0948571764
FRM-0048,ปราณี ชูชื่น,5765067552342,พัทลุง,ภาคใต้,อ.ป่าซาง,สหกรณ์การเกษตรสงขลา จำกัด,49.95,อ้อย,2020-07-24,ใช้งาน,0832092731
FRM-0049,บุญมา บุญมา,6210629058713,สตูล,ภาคใต้,อ.บ้านโฮ่ง,สหกรณ์ชาวสวนยางระยอง จำกัด,39.99,ข้าวนาปรัง,2017-04-07,ใช้งาน,0833979354
FRM-0050,พิชัย ฤทธิ์ไกร,3224552926053,อำนาจเจริญ,ภาคตะวันออกเฉียงเหนือ,อ.วังเหนือ,สหกรณ์การเกษตรนครราชสีมา จำกัด,175.18,ทุเรียน,2015-01-18,ใช้งาน,0928503866
FRM-0051,สุชาติ วงศ์งาม,3007801558484,นครนายก,ภาคตะวันออก,อ.เมือง,สหกรณ์ชาวสวนปาล์มชุมพร จำกัด,100.89,ทุเรียน,2020-03-02,ใช้งาน,0814390576
FRM-0052,มาลี แสงงาม,8321907531984,ขอนแก่น,ภาคตะวันออกเฉียงเหนือ,อ.แม่ทะ,สหกรณ์การเกษตรสุพรรณบุรี จำกัด,159.19,ข้าวโพดเลี้ยงสัตว์,2017-10-10,ใช้งาน,0902106949
FRM-0053,ดวงดาว เจริญสุข,2059229246859,สระแก้ว,ภาคตะวันออก,อ.แม่ทะ,สหกรณ์การเกษตรนครราชสีมา จำกัด,189.78,ข้าวโพดเลี้ยงสัตว์,2022-05-28,ใช้งาน,0871040403
FRM-0054,ปราณี ทองดี,1043621975450,สุโขทัย,ภาคเหนือ,อ.วังเหนือ,สหกรณ์การเกษตรลำปาง จำกัด,139.43,ลิ้นจี่,2017-04-06,ใช้งาน,0862136428
FRM-0055,นฤมล ทองดี,5108941030733,บึงกาฬ,ภาคตะวันออกเฉียงเหนือ,อ.ป่าซาง,สหกรณ์การเกษตรสุพรรณบุรี จำกัด,133.93,ข้าวฟ่าง,2019-12-28,ใช้งาน,0830810028
FRM-0056,นงลักษณ์ รุ่งโรจน์,2254741350632,ปัตตานี,ภาคใต้,อ.เมือง,สหกรณ์การเกษตรขอนแก่น จำกัด,159.56,ทุเรียน,2018-11-05,ใช้งาน,0952795352
FRM-0057,จักรกฤษณ์ สาระ,8081111437089,บึงกาฬ,ภาคตะวันออกเฉียงเหนือ,อ.ป่าซาง,สหกรณ์การเกษตรอุบลราชธานี จำกัด,110.3,ลิ้นจี่,2022-02-15,ใช้งาน,0810700047
FRM-0058,สมหญิง ทองดี,5740876904871,ปราจีนบุรี,ภาคตะวันออก,อ.แม่ทะ,สหกรณ์การเกษตรเชียงราย จำกัด,153.81,ข้าวหอมมะลิ,2020-10-09,ใช้งาน,0974888247
FRM-0059,สายฝน มงคล,9653561289564,นครนายก,ภาคตะวันออก,อ.เมือง,สหกรณ์การเกษตรลำปาง จำกัด,72.85,ยางพารา,2019-03-19,ใช้งาน,0828078316
FRM-0060,ทองสุข สาระ,8997386718143,สกลนคร,ภาคตะวันออกเฉียงเหนือ,อ.เมือง,สหกรณ์ชาวสวนยางระยอง จำกัด,54.22,ข้าวนาปี,2020-07-23,ไม่ใช้งาน,0908494915
FRM-0061,วีระ ดีงาม,1955257624530,ภูเก็ต,ภาคใต้,อ.บ้านโฮ่ง,สหกรณ์การเกษตรอุบลราชธานี จำกัด,75.55,สับปะรด,2015-11-28,ใช้งาน,0918659464
FRM-0062,ชาญชัย พันธ์ดี,8706408404799,พะเยา,ภาคเหนือ,อ.วังเหนือ,สหกรณ์การเกษตรนครราชสีมา จำกัด,10.63,มังคุด,2018-05-18,ใช้งาน,0864235923
FRM-0063,ปราณี เจริญสุข,4951770242815,สกลนคร,ภาคตะวันออกเฉียงเหนือ,อ.เมือง,สหกรณ์การเกษตรลำปาง จำกัด,189.68,มังคุด,2019-09-01,ใช้งาน,0933781655
FRM-0064,บุญมา พิมพา,9032635659779,กรุงเทพมหานคร,ภาคกลาง,อ.แม่ทะ,สหกรณ์การเกษตรขอนแก่น จำกัด,79.8,ข้าวฟ่าง,2019-07-27,ใช้งาน,0836643679
FRM-0065,ณรงค์ บุญมา,1046473906128,ตาก,ภาคเหนือ,อ.ป่าซาง,สหกรณ์การเกษตรสงขลา จำกัด,168.31,ทุเรียน,2019-07-11,ไม่ใช้งาน,0931436828
FRM-0066,อาทิตย์ ชูชื่น,7638058486685,ขอนแก่น,ภาคตะวันออกเฉียงเหนือ,อ.วังเหนือ,สหกรณ์ชาวสวนยางระยอง จำกัด,174.57,อ้อย,2022-09-16,ใช้งาน,0902802954
FRM-0067,บุญมา ฤทธิ์ไกร,7791980670292,เลย,ภาคตะวันออกเฉียงเหนือ,อ.บ้านโฮ่ง,สหกรณ์การเกษตรลำปาง จำกัด,193.14,ข้าวหอมมะลิ,2021-01-11,ใช้งาน,0958425352
FRM-0068,เกษม พันธ์ดี,1268250463511,อยุธยา,ภาคกลาง,อ.บ้านโฮ่ง,สหกรณ์ชาวสวนปาล์มชุมพร จำกัด,174.83,ข้าวหอมมะลิ,2016-08-04,ใช้งาน,0871141511
FRM-0069,รัตนา วงศ์งาม,7685261002965,ลพบุรี,ภาคกลาง,อ.ป่าซาง,สหกรณ์การเกษตรลำปาง จำกัด,175.11,ข้าวนาปรัง,2021-11-03,ใช้งาน,0863020657
FRM-0070,สายฝน ศรีสุข,8804387252142,บึงกาฬ,ภาคตะวันออกเฉียงเหนือ,อ.บ้านโฮ่ง,สหกรณ์การเกษตรสงขลา จำกัด,181.17,ข้าวนาปรัง,2018-12-03,ใช้งาน,0815064390
FRM-0071,กมลา แสงงาม,8247891170330,กรุงเทพมหานคร,ภาคกลาง,อ.แม่ทะ,สหกรณ์การเกษตรขอนแก่น จำกัด,38.15,ข้าวนาปี,2020-06-14,ใช้งาน,0902688453
FRM-0072,ธวัช ดีงาม,5469505767365,หนองบัวลำภู,ภาคตะวันออกเฉียงเหนือ,อ.วังเหนือ,สหกรณ์การเกษตรสงขลา จำกัด,135.03,ข้าวฟ่าง,2022-10-05,ใช้งาน,0877210536
FRM-0073,อาทิตย์ เพชรดี,8464490076550,ปัตตานี,ภาคใต้,อ.ป่าซาง,สหกรณ์การเกษตรลำปาง จำกัด,169.83,ข้าวโพดเลี้ยงสัตว์,2017-02-15,ไม่ใช้งาน,0929710176
FRM-0074,อาทิตย์ เพชรดี,6195618841656,พิจิตร,ภาคเหนือ,อ.เมือง,สหกรณ์ชาวสวนปาล์มชุมพร จำกัด,58.52,ทุเรียน,2018-07-19,ใช้งาน,0999895519
FRM-0075,ธวัช ดำรง,7201082079657,พะเยา,ภาคเหนือ,อ.บ้านโฮ่ง,สหกรณ์การเกษตรสุราษฎร์ธานี จำกัด,126.07,มังคุด,2022-05-25,ใช้งาน,0976947696
FRM-0076,วิชัย สาระ,8755803025524,นครราชสีมา,ภาคตะวันออกเฉียงเหนือ,อ.เมือง,สหกรณ์การเกษตรสุพรรณบุรี จำกัด,76.15,ข้าวหอมมะลิ,2016-11-21,ใช้งาน,0879218109
FRM-0077,ชาญชัย ทรัพย์มา,7438033525387,อ่างทอง,ภาคกลาง,อ.แม่ทะ,สหกรณ์การเกษตรอุบลราชธานี จำกัด,183.13,กาแฟ,2021-03-07,ใช้งาน,0929345041
FRM-0078,ประสิทธิ์ สมบูรณ์,7436254648883,กรุงเทพมหานคร,ภาคกลาง,อ.เมือง,สหกรณ์ชาวสวนปาล์มชุมพร จำกัด,7.71,ลำไย,2020-02-15,ใช้งาน,0898941459
FRM-0079,สมพงษ์ โชคดี,9294586106014,นครพนม,ภาคตะวันออกเฉียงเหนือ,อ.เมือง,สหกรณ์การเกษตรสุพรรณบุรี จำกัด,177.43,ลำไย,2021-11-12,ใช้งาน,0963767693
FRM-0080,นฤมล พันธ์ดี,6315885648670,ชัยภูมิ,ภาคตะวันออกเฉียงเหนือ,อ.วังเหนือ,สหกรณ์การเกษตรนครราชสีมา จำกัด,32.26,ข้าวนาปรัง,2016-11-27,ใช้งาน,0932237914
FRM-0081,ชาญชัย สุขใจ,7526003707718,เพชรบูรณ์,ภาคเหนือ,อ.แม่ทะ,สหกรณ์ชาวสวนปาล์มชุมพร จำกัด,119.53,อ้อย,2016-04-18,ใช้งาน,0911369717
FRM-0082,นงลักษณ์ มีสุข,7518430120911,กำแพงเพชร,ภาคเหนือ,อ.บ้านโฮ่ง,สหกรณ์การเกษตรลำปาง จำกัด,91.72,ข้าวโพดเลี้ยงสัตว์,2022-10-14,ใช้งาน,0826670303
FRM-0083,นงลักษณ์ ดวงดี,3151642064864,นครปฐม,ภาคกลาง,อ.วังเหนือ,สหกรณ์การเกษตรนครราชสีมา จำกัด,134.24,มังคุด,2020-01-13,ใช้งาน,0805733098
FRM-0084,สุรศักดิ์ ดวงดี,5101134113817,พะเยา,ภาคเหนือ,อ.ป่าซาง,สหกรณ์การเกษตรขอนแก่น จำกัด,158.79,ทุเรียน,2020-04-05,ใช้งาน,0838839383
FRM-0085,ยุทธนา วงศ์งาม,3315098097457,อุทัยธานี,ภาคเหนือ,อ.เมือง,สหกรณ์ชาวสวนยางระยอง จำกัด,159.05,ข้าวโพดเลี้ยงสัตว์,2019-03-04,ใช้งาน,0804236202
FRM-0086,กิตติ ทองแดง,9375459206885,บุรีรัมย์,ภาคตะวันออกเฉียงเหนือ,อ.วังเหนือ,สหกรณ์ชาวสวนยางระยอง จำกัด,105.08,ข้าวนาปี,2019-01-05,ใช้งาน,0859471808
FRM-0087,สมหญิง มีสุข,9426719764926,น่าน,ภาคเหนือ,อ.วังเหนือ,สหกรณ์ชาวสวนปาล์มชุมพร จำกัด,138.79,ลิ้นจี่,2019-08-21,ใช้งาน,0919067856
FRM-0088,กมลา ทองดี,5836675164044,พิษณุโลก,ภาคเหนือ,อ.แม่ทะ,สหกรณ์การเกษตรสุพรรณบุรี จำกัด,111.93,ยางพารา,2016-06-20,ใช้งาน,0960361154
FRM-0089,ฉัตรชัย เจริญสุข,3013058814176,พัทลุง,ภาคใต้,อ.แม่ทะ,สหกรณ์การเกษตรสุราษฎร์ธานี จำกัด,88.86,ข้าวฟ่าง,2019-08-17,ใช้งาน,0890981262
FRM-0090,สมพงษ์ ชูชื่น,6499391076340,สงขลา,ภาคใต้,อ.ป่าซาง,สหกรณ์ชาวสวนยางระยอง จำกัด,190.95,มังคุด,2021-07-24,ใช้งาน,0818020961
FRM-0091,สมพงษ์ พลัง,7557293198353,อุตรดิตถ์,ภาคเหนือ,อ.บ้านโฮ่ง,สหกรณ์การเกษตรอุบลราชธานี จำกัด,16.7,ลำไย,2016-02-14,ใช้งาน,0979855317
FRM-0092,ยุทธนา เกษตรดี,7186094864049,นครสวรรค์,ภาคเหนือ,อ.เมือง,สหกรณ์การเกษตรสุพรรณบุรี จำกัด,103.95,ข้าวหอมมะลิ,2021-06-28,ใช้งาน,0860195272
FRM-0093,ลัดดา เกษตรดี,1461952679740,พิจิตร,ภาคเหนือ,อ.แม่ทะ,สหกรณ์การเกษตรสงขลา จำกัด,10.65,มันสำปะหลัง,2020-09-12,ใช้งาน,0882942444
FRM-0094,กมลา เพชรดี,8050864606439,ลพบุรี,ภาคกลาง,อ.เมือง,สหกรณ์การเกษตรขอนแก่น จำกัด,149.49,ข้าวนาปรัง,2020-01-06,ใช้งาน,0942400362
FRM-0095,รัตนา รักษ์ดี,6481967635621,กาฬสินธุ์,ภาคตะวันออกเฉียงเหนือ,อ.ป่าซาง,สหกรณ์การเกษตรสุพรรณบุรี จำกัด,121.26,ข้าวฟ่าง,2021-07-15,ใช้งาน,0842254397
FRM-0096,ยุทธนา เจริญสุข,8286163099335,พะเยา,ภาคเหนือ,อ.ป่าซาง,สหกรณ์การเกษตรสุราษฎร์ธานี จำกัด,152.21,ข้าวนาปี,2016-05-15,ใช้งาน,0829766746
FRM-0097,สุนิสา มีสุข,7950204204415,บึงกาฬ,ภาคตะวันออกเฉียงเหนือ,อ.แม่ทะ,สหกรณ์การเกษตรเชียงราย จำกัด,6.5,มันสำปะหลัง,2022-09-22,ใช้งาน,0836838686
FRM-0098,สมชาย พิมพา,8575235744064,มุกดาหาร,ภาคตะวันออกเฉียงเหนือ,อ.บ้านโฮ่ง,สหกรณ์การเกษตรขอนแก่น จำกัด,79.14,อ้อย,2019-06-04,ใช้งาน,0949981214
FRM-0099,วิชัย เจริญสุข,9087503912670,ปทุมธานี,ภาคกลาง,อ.เมือง,สหกรณ์ชาวสวนยางระยอง จำกัด,117.27,ทุเรียน,2016-07-28,ใช้งาน,0971836720
FRM-0100,สมหญิง ชูชื่น,2547742372041,ตราด,ภาคตะวันออก,อ.วังเหนือ,สหกรณ์การเกษตรนครราชสีมา จำกัด,52.45,ทุเรียน,2019-02-13,ใช้งาน,0821111667
FRM-0101,ธวัช ชูชื่น,3958283785419,ชลบุรี,ภาคตะวันออก,อ.เมือง,สหกรณ์การเกษตรอุบลราชธานี จำกัด,128.48,ลำไย,2019-12-11,ใช้งาน,0893784709
FRM-0102,กมลา บุญมา,4050274056097,สระบุรี,ภาคกลาง,อ.แม่ทะ,สหกรณ์การเกษตรขอนแก่น จำกัด,153.24,มังคุด,2017-04-04,ใช้งาน,0968563715
FRM-0103,ดวงดาว ดีงาม,3655647595154,กระบี่,ภาคใต้,อ.วังเหนือ,สหกรณ์การเกษตรนครราชสีมา จำกัด,96.44,มังคุด,2022-10-25,ใช้งาน,0873732150
FRM-0104,สุนิสา ดีงาม,1663365918865,แม่ฮ่องสอน,ภาคเหนือ,อ.เมือง,สหกรณ์ชาวสวนยางระยอง จำกัด,167.18,ข้าวนาปี,2020-09-03,ใช้งาน,0824238783
FRM-0105,ปราณี ทรัพย์มา,8911505950444,พังงา,ภาคใต้,อ.แม่ทะ,สหกรณ์การเกษตรสุราษฎร์ธานี จำกัด,67.7,ลิ้นจี่,2021-08-19,ใช้งาน,0816609095
FRM-0106,มาลี ทองแดง,4035022005702,สระแก้ว,ภาคตะวันออก,อ.เมือง,สหกรณ์การเกษตรสุราษฎร์ธานี จำกัด,142.99,ลิ้นจี่,2016-06-23,ใช้งาน,0963693393
FRM-0107,วรากร เจริญสุข,6951856005888,สกลนคร,ภาคตะวันออกเฉียงเหนือ,อ.แม่ทะ,สหกรณ์การเกษตรเชียงราย จำกัด,158.9,มังคุด,2020-06-10,ใช้งาน,0888500689
FRM-0108,ยุทธนา พันธ์ดี,6863276207566,กำแพงเพชร,ภาคเหนือ,อ.เมือง,สหกรณ์การเกษตรสุพรรณบุรี จำกัด,134.4,ข้าวฟ่าง,2021-05-09,ใช้งาน,0976108347
FRM-0109,มาลี สาระ,7625240122441,ชลบุรี,ภาคตะวันออก,อ.ป่าซาง,สหกรณ์การเกษตรขอนแก่น จำกัด,135.67,กาแฟ,2017-10-23,ใช้งาน,0983989536
FRM-0110,สายฝน ทองแดง,1319381619752,พัทลุง,ภาคใต้,อ.ป่าซาง,สหกรณ์การเกษตรสงขลา จำกัด,40.15,ข้าวโพดเลี้ยงสัตว์,2016-11-22,ใช้งาน,0930532356
FRM-0111,ประสิทธิ์ สาระ,9929671404650,ศรีสะเกษ,ภาคตะวันออกเฉียงเหนือ,อ.แม่ทะ,สหกรณ์การเกษตรอุบลราชธานี จำกัด,12.36,ยางพารา,2018-03-05,ใช้งาน,0965901559
FRM-0112,นภา รุ่งโรจน์,3915864704616,อุทัยธานี,ภาคเหนือ,อ.วังเหนือ,สหกรณ์การเกษตรเชียงราย จำกัด,85.12,มังคุด,2021-03-06,ใช้งาน,0919238682
FRM-0113,จันทร์ สาระ,9254001020158,บึงกาฬ,ภาคตะวันออกเฉียงเหนือ,อ.บ้านโฮ่ง,สหกรณ์ชาวสวนยางระยอง จำกัด,137.27,ทุเรียน,2022-04-18,ไม่ใช้งาน,0923931274
FRM-0114,กิตติ รักษ์ดี,4512496801984,บึงกาฬ,ภาคตะวันออกเฉียงเหนือ,อ.แม่ทะ,สหกรณ์การเกษตรขอนแก่น จำกัด,175.24,ข้าวนาปรัง,2021-09-17,ใช้งาน,0899646490
