shipment_id,warehouse_id,customer_id,crop_id,shipment_date,delivery_date,status,total_weight_kg,shipping_cost_thb,transport_mode,driver_name,vehicle_plate
SHP-000045,WH-012,CUS-0116,CRP-001,2022-06-18,2022-06-29,จัดส่งแล้ว,11615.7,7011.24,รถบรรทุก,ธนกร ทองแดง,ชช-3025 ขก
SHP-000046,WH-006,CUS-0170,CRP-011,2023-11-23,,รอดำเนินการ,23910.05,42253.81,รถบรรทุก,ปราณี แสงงาม,ขข-2251 สข
SHP-000047,WH-010,CUS-0089,CRP-003,2022-01-08,2022-01-16,จัดส่งแล้ว,6018.46,4904.54,เรือ,ดวงดาว มั่งมี,งง-7371 สง
SHP-000048,WH-007,CUS-0176,CRP-001,2021-02-26,2021-03-02,จัดส่งแล้ว,29588.78,55483.02,รถไฟ,สายฝน เกษตรดี,ฉฉ-9671 สง
SHP-000049,WH-008,CUS-0149,CRP-014,2024-07-03,,รอดำเนินการ,28948.26,67265.68,รถบรรทุก,เกษม ดาวเรือง,งง-6886 ขก
SHP-000050,WH-008,CUS-0050,CRP-003,2025-06-16,2025-06-30,จัดส่งแล้ว,23645.13,55360.28,รถบรรทุก,มาลี เกษตรดี,ฉฉ-7386 ชม
SHP-000051,WH-004,CUS-0074,CRP-002,2025-06-17,2025-06-30,จัดส่งแล้ว,6538.92,15604.67,รถไฟ,ฉัตรชัย พิมพา,ขข-6821 ชม
SHP-000052,WH-012,CUS-0161,CRP-012,2022-08-29,2022-09-03,จัดส่งแล้ว,9120.58,21605.13,รถบรรทุก,วิทยา มีสุข,ขข-7168 ขก
SHP-000053,WH-013,CUS-0041,CRP-005,2023-09-14,2023-09-16,จัดส่งแล้ว,5233.03,7271.13,รถบรรทุก,จักรกฤษณ์ ชูชื่น,กก-3900 ชม
SHP-000054,WH-004,CUS-0075,CRP-003,2022-11-16,2022-11-30,จัดส่งแล้ว,10927.44,13733.6,เรือ,ดวงดาว สาระ,กก-3878 สข
SHP-000055,WH-015,CUS-0171,CRP-009,2022-09-29,2022-10-05,จัดส่งแล้ว,18102.82,44153.69,รถไฟ,บุญมา ฤทธิ์ไกร,กก-6186 ขก
SHP-000056,WH-009,CUS-0071,CRP-003,2023-09-25,2023-10-04,จัดส่งแล้ว,4998.73,7351.91,เรือ,วรากร สุขใจ,ชช-1678 ขก
SHP-000057,WH-002,CUS-0025,CRP-002,2022-06-08,2022-06-15,จัดส่งแล้ว,24073.37,24324.33,รถไฟ,นงลักษณ์ ฤทธิ์ไกร,ขข-4885 ชม
SHP-000058,WH-015,CUS-0127,CRP-013,2024-12-18,2024-12-20,จัดส่งแล้ว,4330.76,6463.49,รถไฟ,วีระ สาระ,ฉฉ-9580 สง
SHP-000059,WH-004,CUS-0154,CRP-007,2024-07-23,2024-08-02,จัดส่งแล้ว,12066.2,13745.4,รถไฟ,อาทิตย์ ชูชื่น,ฉฉ-6841 สข
SHP-000060,WH-002,CUS-0181,CRP-006,2025-01-17,2025-01-30,จัดส่งแล้ว,8653.69,12319.48,รถบรรทุก,สมชาย รักษ์ดี,ฉฉ-2006 สง
SHP-000061,WH-006,CUS-0148,CRP-001,2023-07-22,2023-08-05,จัดส่งแล้ว,4473.67,5714.15,รถบรรทุก,ฉัตรชัย มั่งมี,ขข-2450 ชม
SHP-000062,WH-009,CUS-0138,CRP-012,2025-08-24,2025-08-26,กำลังขนส่ง,2403.12,1757.01,รถบรรทุก,กิตติ ชูชื่น,ฉฉ-2441 สข
SHP-000063,WH-012,CUS-0119,CRP-001,2022-10-23,2022-10-29,จัดส่งแล้ว,5157.02,9894.51,รถไฟ,มณีรัตน์ แสงงาม,กก-4106 กทม
SHP-000064,WH-002,CUS-0082,CRP-005,2022-04-15,,รอดำเนินการ,3596.74,2246.9,รถบรรทุก,ชัยวัฒน์ โชคดี,ฉฉ-6579 ชม
SHP-000065,WH-006,CUS-0099,CRP-003,2023-12-16,2023-12-25,จัดส่งแล้ว,18224.88,9364.71,รถบรรทุก,สุชาติ มั่งมี,ชช-1066 ชม
SHP-000066,WH-011,CUS-0044,CRP-002,2023-07-07,2023-07-13,จัดส่งแล้ว,17715.88,20310.4,รถบรรทุก,เอกชัย ดีงาม,ชช-2670 กทม
SHP-000067,WH-014,CUS-0055,CRP-014,2025-01-26,2025-01-29,จัดส่งแล้ว,22962.54,27467.51,รถบรรทุก,นภา มั่งมี,ชช-7617 สข
SHP-000068,WH-012,CUS-0126,CRP-015,2025-09-25,2025-10-01,กำลังขนส่ง,6424.57,12459.15,รถบรรทุก,สมบัติ ดำรง,ชช-9727 ขก
SHP-000069,WH-004,CUS-0099,CRP-009,2025-08-19,2025-08-21,จัดส่งแล้ว,16890.97,10961.51,รถไฟ,วีระ เกษตรดี,ขข-5148 สง
SHP-000070,WH-007,CUS-0155,CRP-015,2025-06-15,2025-06-28,จัดส่งแล้ว,17003.71,14528.07,รถไฟ,นิตยา เกษตรดี,ชช-4394 สง
SHP-000071,WH-002,CUS-0107,CRP-004,2025-03-14,2025-03-20,จัดส่งแล้ว,25168.71,36776.39,รถบรรทุก,ปิยะ วงศ์งาม,งง-7196 สง
SHP-000072,WH-002,CUS-0115,CRP-004,2021-09-21,2021-09-24,จัดส่งแล้ว,7801.44,13497.38,เรือ,ธวัช ศรีสุข,ขข-4469 กทม
SHP-000073,WH-001,CUS-0057,CRP-013,2023-04-23,2023-04-28,จัดส่งแล้ว,15413.85,14580.55,รถบรรทุก,วรากร เจริญสุข,กก-8103 ขก
SHP-000074,WH-010,CUS-0006,CRP-004,2023-04-06,2023-04-17,จัดส่งแล้ว,21248.37,19724.49,รถไฟ,ธนกร โชคดี,ฉฉ-9629 ขก
SHP-000075,WH-001,CUS-0199,CRP-007,2023-01-27,,รอดำเนินการ,11478.49,22046.92,รถบรรทุก,สมพงษ์ โชคดี,ฉฉ-3480 ขก
SHP-000076,WH-010,CUS-0154,CRP-015,2022-08-27,2022-09-09,ยกเลิก,2731.85,4633.96,รถบรรทุก,วรากร เกษตรดี,งง-6371 สง
SHP-000077,WH-007,CUS-0160,CRP-003,2022-04-27,2022-05-06,ยกเลิก,27764.24,34014.66,รถบรรทุก,วรากร โชคดี,กก-8563 ชม
SHP-000078,WH-012,CUS-0018,CRP-001,2022-12-15,2022-12-16,จัดส่งแล้ว,5833.59,10417.89,รถบรรทุก,จักรกฤษณ์ โชคดี,กก-4645 สข
SHP-000079,WH-002,CUS-0170,CRP-001,2021-09-12,2021-09-21,กำลังขนส่ง,8678.78,21143.23,รถบรรทุก,ฉัตรชัย มงคล,ชช-1339 ขก
SHP-000080,WH-005,CUS-0121,CRP-009,2021-10-02,2021-10-16,กำลังขนส่ง,28758.77,20544.13,รถบรรทุก,มาลี มีสุข,ขข-6553 ขก
SHP-000081,WH-005,CUS-0157,CRP-015,2022-10-22,2022-10-28,จัดส่งแล้ว,19716.92,11064.99,รถไฟ,ปิยะ เพชรดี,ขข-8067 ชม
SHP-000082,WH-012,CUS-0039,CRP-013,2022-07-08,,รอดำเนินการ,4213.83,6188.01,รถบรรทุก,นภา เจริญสุข,ฉฉ-6506 สง
SHP-000083,WH-014,CUS-0104,CRP-015,2021-11-26,2021-11-30,กำลังขนส่ง,29021.55,20085.32,รถบรรทุก,ลัดดา สมบูรณ์,ฉฉ-5262 กทม
SHP-000084,WH-005,CUS-0123,CRP-013,2021-06-30,2021-07-12,จัดส่งแล้ว,28388.49,64974.03,เรือ,บุญมา ทองแดง,ฉฉ-9137 ชม
SHP-000085,WH-003,CUS-0029,CRP-001,2024-01-03,2024-01-08,จัดส่งแล้ว,17425.75,18722.51,รถไฟ,พิชัย แสงงาม,ฉฉ-2081 สง
SHP-000086,WH-002,CUS-0083,CRP-007,2024-06-30,2024-07-11,จัดส่งแล้ว,11430.79,23629.85,รถบรรทุก,มาลี พลัง,ฉฉ-2380 สง
SHP-000087,WH-007,CUS-0033,CRP-007,2025-10-31,2025-11-06,จัดส่งแล้ว,15738.36,39320.94,รถบรรทุก,ชาญชัย เจริญสุข,ชช-6487 กทม
SHP-000088,WH-002,CUS-0078,CRP-003,2025-08-26,2025-08-28,จัดส่งแล้ว,20208.38,30620.23,รถไฟ,ณรงค์ เจริญสุข,งง-6654 กทม
SHP-000089,WH-015,CUS-0108,CRP-007,2025-04-09,2025-04-23,จัดส่งแล้ว,25487.12,57487.74,รถไฟ,จักรกฤษณ์ สาระ,งง-5956 ขก
SHP-000090,WH-013,CUS-0191,CRP-011,2021-02-02,2021-02-13,กำลังขนส่ง,13254.76,27378.22,รถบรรทุก,บุญมา ฤทธิ์ไกร,ชช-2553 สข
SHP-000091,WH-007,CUS-0150,CRP-001,2022-12-11,2022-12-22,จัดส่งแล้ว,29518.84,29348.41,รถไฟ,ศิริ ชูชื่น,ขข-4139 กทม
SHP-000092,WH-014,CUS-0088,CRP-012,2023-06-12,2023-06-16,จัดส่งแล้ว,24694.86,29836.57,รถบรรทุก,สมชาย รักษ์ดี,ชช-4790 สง
SHP-000093,WH-007,CUS-0115,CRP-012,2021-03-19,2021-03-29,จัดส่งแล้ว,27739.83,61704.08,เรือ,วรากร พันธ์ดี,งง-2829 ขก
SHP-000094,WH-009,CUS-0147,CRP-002,2024-11-30,2024-12-13,จัดส่งแล้ว,14134.24,31096.93,รถบรรทุก,นฤมล พันธ์ดี,งง-5604 ชม
SHP-000095,WH-007,CUS-0043,CRP-004,2021-12-18,2021-12-27,จัดส่งแล้ว,2483.51,4882.26,รถบรรทุก,บุญมา มั่งมี,งง-6827 สข
SHP-000096,WH-003,CUS-0196,CRP-002,2025-04-06,2025-04-12,ยกเลิก,13241.16,18800.73,รถบรรทุก,ฉัตรชัย โชคดี,ฉฉ-7878 สข
SHP-000097,WH-001,CUS-0197,CRP-015,2025-06-16,2025-06-19,จัดส่งแล้ว,26637.67,21253.7,รถบรรทุก,ชาญชัย เจริญสุข,ฉฉ-7128 กทม
SHP-000098,WH-010,CUS-0125,CRP-012,2022-12-29,2023-01-11,จัดส่งแล้ว,19308.46,25825.96,รถบรรทุก,สมชาย เพชรดี,ชช-9340 สข
SHP-000099,WH-015,CUS-0169,CRP-004,2023-04-16,2023-04-29,จัดส่งแล้ว,28548.23,49416.71,เรือ,นงลักษณ์ วงศ์งาม,กก-6168 สข
SHP-000100,WH-006,CUS-0042,CRP-002,2024-05-10,2024-05-17,จัดส่งแล้ว,12434.29,29916.32,รถไฟ,ยุทธนา บุญมา,งง-9833 สง
SHP-000101,WH-008,CUS-0050,CRP-007,2022-02-20,2022-03-05,จัดส่งแล้ว,9644.56,20644.08,รถบรรทุก,สุชาติ ชูชื่น,กก-5677 สข
SHP-000102,WH-014,CUS-0182,CRP-010,2023-05-21,2023-06-04,จัดส่งแล้ว,23962.76,45813.84,รถบรรทุก,สมพงษ์ ดวงดี,ชช-4923 ขก
SHP-000103,WH-002,CUS-0075,CRP-002,2025-11-10,2025-11-20,จัดส่งแล้ว,3232.85,3915.63,รถบรรทุก,จักรกฤษณ์ พันธ์ดี,งง-5819 ชม
SHP-000104,WH-015,CUS-0172,CRP-008,2023-02-03,2023-02-13,จัดส่งแล้ว,21415.79,33464.42,เรือ,นฤมล พันธ์ดี,ขข-5130 สข
SHP-000105,WH-009,CUS-0127,CRP-005,2024-10-22,2024-11-02,จัดส่งแล้ว,4184.04,6531.3,รถบรรทุก,ชัยวัฒน์ เจริญสุข,กก-4038 ชม
SHP-000106,WH-004,CUS-0123,CRP-006,2021-04-13,2021-04-15,จัดส่งแล้ว,3730.75,5124.23,เรือ,สายฝน บุญมา,ชช-6174 กทม
SHP-000107,WH-007,CUS-0017,CRP-013,2022-01-03,,รอดำเนินการ,24847.21,57873.32,รถบรรทุก,ชัยวัฒน์ โชคดี,งง-8162 ชม
SHP-000108,WH-015,CUS-0015,CRP-008,2023-05-27,2023-06-05,จัดส่งแล้ว,15500.56,28104.15,รถไฟ,ศิริ รุ่งโรจน์,ฉฉ-6985 สง
SHP-000109,WH-007,CUS-0164,CRP-001,2025-04-04,,รอดำเนินการ,21432.98,21548.44,รถบรรทุก,สุรศักดิ์ พันธ์ดี,งง-7029 ขก
SHP-000110,WH-010,CUS-0130,CRP-013,2021-04-10,,รอดำเนินการ,17632.08,20694.21,รถไฟ,สมพงษ์ ดาวเรือง,กก-8604 ชม
SHP-000111,WH-001,CUS-0081,CRP-003,2024-01-10,2024-01-15,จัดส่งแล้ว,6102.14,5916.43,รถบรรทุก,จักรกฤษณ์ ดวงดี,งง-7255 ขก
SHP-000112,WH-013,CUS-0198,CRP-014,2021-10-15,2021-10-17,กำลังขนส่ง,7568.06,10183.98,รถไฟ,ธนกร ทรัพย์มา,ชช-1919 สข
SHP-000113,WH-007,CUS-0126,CRP-014,2025-03-01,2025-03-05,กำลังขนส่ง,9960.9,6729.39,รถไฟ,ศิริ พลัง,ชช-8252 สข
SHP-000114,WH-011,CUS-0164,CRP-007,2025-06-13,2025-06-27,จัดส่งแล้ว,26590.31,26785.74,รถบรรทุก,อนันต์ พลัง,กก-2795 ชม
SHP-000115,WH-010,CUS-0088,CRP-003,2023-12-18,2023-12-22,จัดส่งแล้ว,26205.32,25570.34,เรือ,ชาญชัย รักษ์ดี,ฉฉ-8562 สข
SHP-000116,WH-007,CUS-0094,CRP-003,2023-04-24,2023-05-06,จัดส่งแล้ว,20070.06,39117.5,รถไฟ,ปราณี ทองดี,ชช-4190 ขก
SHP-000117,WH-010,CUS-0009,CRP-012,2022-09-13,2022-09-22,จัดส่งแล้ว,12260.38,12883.62,รถบรรทุก,เกษม ทรัพย์มา,ฉฉ-6826 สข
SHP-000118,WH-006,CUS-0093,CRP-010,2021-10-21,,รอดำเนินการ,5290.6,8032.78,รถไฟ,ฉัตรชัย เกษตรดี,กก-9018 สข
SHP-000119,WH-013,CUS-0044,CRP-004,2024-11-23,2024-11-27,จัดส่งแล้ว,14852.78,30798.07,รถบรรทุก,ปราณี เพชรดี,ขข-2087 กทม
SHP-000120,WH-008,CUS-0023,CRP-010,2025-07-05,2025-07-17,จัดส่งแล้ว,22359.78,54997.79,รถบรรทุก,สุดา ดาวเรือง,ฉฉ-1246 สง
SHP-000121,WH-013,CUS-0030,CRP-006,2023-08-27,2023-09-01,จัดส่งแล้ว,8964.12,21771.34,รถบรรทุก,สมชาย สาระ,ชช-9077 ขก
SHP-000122,WH-007,CUS-0152,CRP-006,2024-05-30,2024-06-12,จัดส่งแล้ว,19561.89,10825.62,รถบรรทุก,กมลา ศรีสุข,ฉฉ-2238 สข
SHP-000123,WH-002,CUS-0159,CRP-004,2024-08-27,2024-09-04,จัดส่งแล้ว,10683.73,18511.57,รถบรรทุก,เอกชัย มงคล,ฉฉ-7583 ชม
SHP-000124,WH-013,CUS-0147,CRP-008,2023-12-24,2024-01-07,จัดส่งแล้ว,13528.56,18481.69,เรือ,จักรกฤษณ์ ดำรง,ฉฉ-2036 ขก
SHP-000125,WH-014,CUS-0128,CRP-001,2024-02-04,2024-02-13,จัดส่งแล้ว,21296.89,47402.54,เรือ,ยุทธนา สาระ,งง-5706 สข
SHP-000126,WH-003,CUS-0187,CRP-003,2024-08-03,2024-08-11,กำลังขนส่ง,14345.35,7610.8,รถบรรทุก,วิทยา ทองดี,ขข-1877 ชม
SHP-000127,WH-010,CUS-0179,CRP-003,2021-11-14,,รอดำเนินการ,17529.76,26726.21,เรือ,กิตติ บุญมา,งง-7955 สข
SHP-000128,WH-005,CUS-0141,CRP-011,2023-02-27,2023-03-13,จัดส่งแล้ว,18585.14,44793.31,รถบรรทุก,สุดา พลัง,ชช-8749 สง
SHP-000129,WH-014,CUS-0188,CRP-014,2025-06-04,2025-06-08,กำลังขนส่ง,2854.42,1750.08,รถบรรทุก,ทองสุข เจริญสุข,งง-8287 กทม
SHP-000130,WH-015,CUS-0078,CRP-010,2024-06-11,2024-06-19,จัดส่งแล้ว,10140.43,20978.93,รถไฟ,ชัยวัฒน์ ชูชื่น,กก-3012 สข
SHP-000131,WH-008,CUS-0092,CRP-011,2021-07-28,2021-08-04,จัดส่งแล้ว,24001.81,39139.47,รถบรรทุก,สุรศักดิ์ แสงงาม,งง-1540 ชม
SHP-000132,WH-009,CUS-0091,CRP-002,2021-09-02,2021-09-09,จัดส่งแล้ว,12949.19,7720.48,รถบรรทุก,สมชาย ฤทธิ์ไกร,ฉฉ-1078 กทม
SHP-000133,WH-009,CUS-0200,CRP-005,2023-07-02,,รอดำเนินการ,8580.59,5988.03,รถบรรทุก,ปราณี พลัง,ชช-4921 กทม
SHP-000134,WH-004,CUS-0040,CRP-004,2021-07-17,2021-07-23,จัดส่งแล้ว,16331.93,31916.58,รถบรรทุก,นิตยา แสงงาม,กก-8972 ขก
SHP-000135,WH-014,CUS-0073,CRP-005,2022-07-27,2022-07-30,จัดส่งแล้ว,5530.16,3167.85,รถบรรทุก,พิชัย บุญมา,กก-2962 สง
SHP-000136,WH-007,CUS-0181,CRP-003,2022-03-30,,รอดำเนินการ,21060.52,35717.48,เรือ,กมลา โชคดี,ชช-4126 ชม
SHP-000137,WH-015,CUS-0095,CRP-003,2021-10-03,2021-10-13,จัดส่งแล้ว,23173.05,45982.2,เรือ,สุนิสา มงคล,ขข-9977 กทม
SHP-000138,WH-014,CUS-0104,CRP-005,2023-01-18,2023-02-01,จัดส่งแล้ว,11227.81,12949.74,รถบรรทุก,สุดา ฤทธิ์ไกร,ชช-4633 กทม
SHP-000139,WH-013,CUS-0104,CRP-008,2022-02-11,2022-02-24,จัดส่งแล้ว,3347.99,5752.26,รถบรรทุก,ปรียา แสงงาม,ชช-2879 ชม
SHP-000140,WH-012,CUS-0155,CRP-015,2023-05-01,2023-05-03,จัดส่งแล้ว,14174.77,30926.76,รถบรรทุก,เอกชัย ทรัพย์มา,กก-6801 สข
SHP-000141,WH-003,CUS-0019,CRP-012,2021-04-15,,รอดำเนินการ,6743.1,9854.33,รถบรรทุก,กมลา วงศ์งาม,ฉฉ-5250 สง
SHP-000142,WH-001,CUS-0124,CRP-015,2021-01-28,2021-02-01,จัดส่งแล้ว,2747.11,1955.85,รถบรรทุก,กมลา เพชรดี,ฉฉ-9478 สง
SHP-000143,WH-011,CUS-0159,CRP-009,2024-01-31,2024-02-01,จัดส่งแล้ว,17401.64,12616.8,รถไฟ,พิชัย สมบูรณ์,ชช-1161 สง
SHP-000144,WH-015,CUS-0185,CRP-002,2021-05-30,2021-06-07,ยกเลิก,21991.56,24523.83,รถบรรทุก,นฤมล สุขใจ,ชช-6918 กทม
SHP-000145,WH-012,CUS-0023,CRP-014,2025-12-16,2025-12-30,กำลังขนส่ง,14033.27,31254.84,เรือ,ปรียา มีสุข,ชช-4152 สข
SHP-000146,WH-009,CUS-0037,CRP-003,2025-12-05,2025-12-16,จัดส่งแล้ว,6037.13,4075.68,รถไฟ,มณีรัตน์ วงศ์งาม,ฉฉ-3258 สข
SHP-000147,WH-009,CUS-0015,CRP-010,2024-02-13,2024-02-24,จัดส่งแล้ว,2375.08,2121.03,เรือ,นภา สาระ,ชช-5071 สข
SHP-000148,WH-006,CUS-0150,CRP-006,2021-07-30,2021-08-05,จัดส่งแล้ว,6591.71,11280.52,รถบรรทุก,ธวัช รักษ์ดี,กก-1066 สข
SHP-000149,WH-009,CUS-0178,CRP-001,2022-11-07,2022-11-17,จัดส่งแล้ว,5375.86,11700.46,รถบรรทุก,อนันต์ ทองดี,ชช-6571 ขก
SHP-000150,WH-006,CUS-0120,CRP-010,2021-12-13,2021-12-18,จัดส่งแล้ว,10334.88,5799.8,รถไฟ,สมพงษ์ สมบูรณ์,ขข-4393 ขก
